日期,收盘,开盘,高,低,交易量,涨跌幅
2022年10月31日,111.455,110.69,111.535,110.585,-,0.77%
2022年10月28日,110.606,110.395,110.925,110.135,38.12K,0.14%
2022年10月27日,110.453,109.45,110.48,109.365,50.40K,0.82%
2022年10月26日,109.552,110.84,111.015,109.465,50.48K,-1.15%
2022年10月25日,110.83,111.815,112.065,110.625,49.49K,-0.96%
2022年10月24日,111.909,111.605,112.465,111.335,40.55K,-0.06%
2022年10月21日,111.98,112.845,113.835,111.575,113.49K,-0.74%
2022年10月20日,112.818,112.9,113.03,112.05,39.69K,-0.05%
2022年10月19日,112.879,111.815,112.995,111.78,34.23K,0.79%
2022年10月18日,111.994,111.97,112.35,111.63,41.68K,0.08%
2022年10月17日,111.908,113.17,113.17,111.79,41.50K,-1.14%
2022年10月14日,113.202,112.475,113.3,112.06,47.79K,0.85%
2022年10月13日,112.253,113.175,113.85,112.02,78.59K,-0.86%
2022年10月12日,113.224,113.23,113.495,112.905,39.16K,0.08%
2022年10月11日,113.128,113.005,113.47,112.295,47.26K,0.05%
2022年10月10日,113.071,112.655,113.285,112.51,34.69K,0.34%
2022年10月7日,112.683,112.215,112.775,111.865,42.76K,0.45%
2022年10月6日,112.183,110.88,112.235,110.72,33.41K,1.06%
2022年10月5日,111.011,110.075,111.655,109.985,37.55K,0.94%
2022年10月4日,109.981,111.505,111.825,109.965,51.31K,-1.50%
2022年10月3日,111.656,112.15,112.53,111.405,39.38K,-0.38%
2022年9月30日,112.084,111.81,112.7,111.54,54.60K,-0.11%
2022年9月29日,112.202,112.96,113.72,111.95,56.44K,-0.27%
2022年9月28日,112.508,114.105,114.745,112.455,99.32K,-1.35%
2022年9月27日,114.047,113.845,114.425,113.26,55.23K,0.02%
2022年9月26日,114.02,112.99,114.445,112.665,87.87K,0.94%
2022年9月23日,112.962,111.005,113,110.84,54.78K,1.67%
2022年9月22日,111.105,111.22,111.58,110.22,55.61K,0.69%
2022年9月21日,110.346,109.9,111.36,109.86,51.63K,0.37%
2022年9月20日,109.942,109.29,110.015,109.075,28.29K,0.56%
2022年9月19日,109.333,109.29,109.9,109.233,-,-0.16%
2022年9月16日,109.506,109.54,109.995,109.2,46.85K,0.05%
2022年9月15日,109.452,109.345,109.65,109.15,35.23K,0.07%
2022年9月14日,109.371,109.52,109.635,108.98,27.36K,-0.14%
2022年9月13日,109.528,108.03,109.635,107.45,17.95K,1.32%
2022年9月12日,108.096,108.365,108.605,107.57,15.79K,-0.58%
2022年9月9日,108.732,109.29,109.29,108.1,3.80K,-0.66%
2022年9月8日,109.458,109.425,109.97,109.04,2.75K,-0.10%
2022年9月7日,109.567,110.025,110.48,109.26,1.99K,-0.32%
2022年9月6日,109.919,109.38,110.255,109.125,1.48K,0.61%
2022年9月5日,109.255,109.55,110,109.445,0.55K,0.00%
2022年9月2日,109.255,109.3,109.43,108.66,0.88K,-0.14%
2022年9月1日,109.403,108.52,109.7,108.5,0.78K,0.93%
2022年8月31日,108.4,108.4,108.875,108.055,0.28K,-0.07%
2022年8月30日,108.474,108.385,108.8,108,0.28K,-0.06%
2022年8月29日,108.54,108.695,109.2,108.18,0.86K,0.08%
2022年8月26日,108.451,108.235,108.555,107.265,0.41K,0.29%
2022年8月25日,108.133,108.105,108.31,107.7,0.48K,-0.18%
2022年8月24日,108.326,108.24,108.785,108.005,0.23K,0.06%
2022年8月23日,108.259,108.655,108.9,107.7,0.39K,-0.39%
2022年8月22日,108.681,107.74,108.705,107.74,0.44K,0.81%
2022年8月19日,107.803,107.145,107.84,107.13,0.25K,0.65%
2022年8月18日,107.105,106.145,107.16,106.105,0.17K,0.89%
2022年8月17日,106.161,106.04,106.41,105.96,0.12K,0.11%
2022年8月16日,106.043,106.08,106.425,105.935,0.08K,-0.02%
2022年8月15日,106.068,105.08,106.08,105.08,0.24K,0.88%
2022年8月12日,105.145,104.765,105.345,104.765,0.11K,0.48%
2022年8月11日,104.644,104.76,104.995,104.195,0.07K,-0.08%
2022年8月10日,104.73,105.765,105.825,104.15,0.15K,-1.11%
2022年8月9日,105.902,105.825,105.855,105.555,0.03K,-0.06%
2022年8月8日,105.968,106.19,106.34,105.685,0.23K,-0.15%
2022年8月5日,106.13,105.48,106.46,105.44,0.11K,0.82%
2022年8月4日,105.266,105.96,105.975,105.265,0.05K,-0.73%
2022年8月3日,106.037,105.91,106.3,105.55,0.13K,0.26%
2022年8月2日,105.764,104.965,105.845,104.66,0.10K,0.71%
2022年8月1日,105.016,105.4,105.405,104.83,0.12K,-0.43%
2022年7月29日,105.474,105.75,106.17,105.1,0.13K,-0.42%
2022年7月28日,105.921,105.965,106.52,105.64,0.10K,-0.09%
2022年7月27日,106.016,106.705,106.92,105.855,0.11K,-0.65%
2022年7月26日,106.714,106,106.75,105.795,0.14K,0.64%
2022年7月25日,106.04,106.18,106.335,105.835,0.05K,-0.26%
2022年7月22日,106.316,106.335,106.34,105.725,0.05K,-0.15%
2022年7月21日,106.479,106.655,106.84,106,0.07K,-0.12%
2022年7月20日,106.608,106.165,106.745,105.94,0.16K,0.34%
2022年7月19日,106.25,107.07,107.095,105.975,0.10K,-0.60%
2022年7月18日,106.896,107.3,107.4,106.44,0.05K,-0.64%
2022年7月15日,107.586,108.08,108.185,107.485,0.06K,-0.41%
2022年7月14日,108.032,107.7,108.785,107.675,0.09K,0.60%
2022年7月13日,107.386,107.705,108.05,106.98,0.06K,-0.17%
2022年7月12日,107.567,107.68,108.025,107.385,0.08K,0.09%
2022年7月11日,107.474,106.435,107.675,106.435,0.10K,0.97%
2022年7月8日,106.441,106.435,107.22,106.295,0.13K,-0.14%
2022年7月7日,106.594,106.43,106.68,106.26,0.10K,0.03%
